name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
Anytime Fitness Bukit Timah Central,ChIJU5AB6_sb2jERZXpNUjEz7Fk,"559 Bukit Timah Rd, #B1-01 King’s Arcade, Singapore 269695",1.3233285,103.8108037,4.9,958,https://www.anytimefitness.sg/gyms/SG-0138/bukit-timah-central-singapore-588179/,8855 0506,fitness_center,Singapore,Fitness Studio,BUKIT TIMAH,15710.218884329815,20472.0,True,True,True,General
24/7 FITNESS Orchard,ChIJTWMrtuUZ2jERhqIZEoDAXN8,"9 Scotts Rd, #04-01 Pacific Plaza, Singapore 228210",1.3065981,103.8320871,4.7,123,https://sg.247.fitness/,8824 7898,fitness_center,Singapore,Fitness Studio,ORCHARD,0.0,0.0,True,True,True,General
Anytime Fitness Balmoral,ChIJKc_F7UIZ2jERNL33prV3aC0,"32 Stevens Rd, #02-01 Above Pine Club Mercure Hotel at Stevens, Singapore 258892",1.314059,103.8276982,4.6,40,https://www.anytimefitness.sg/gyms/sg-0160/tanglin-holland-central-singapore-257878/,8053 3128,fitness_center,Singapore,Fitness Studio,TANGLIN,16323.82970252404,6656.0,True,True,True,General
Apex Fitness,ChIJ33STyGQb2jER3ZgAIiu9_Xg,"36 Jln Rumah Tinggi, #01-447, Singapore 150036",1.288588,103.8089019,4.8,16,http://www.apexfitsg.com/,,fitness_center,Singapore,Fitness Studio,TANGLIN,16323.82970252404,6656.0,True,False,True,General
Platinum Fitness Tanglin,ChIJlVGrEIkZ2jERe2pt75WsXbo,"163 Tanglin Rd, #02-118 Tanglin Mall, Singapore 247933",1.304622,103.8240274,4.8,37,http://www.platinumfitness.sg/,8447 6334,fitness_center,Singapore,Fitness Studio,TANGLIN,16323.82970252404,6656.0,True,True,True,General
Anytime Fitness Buona Vista,ChIJS1v-9jQb2jER7XzNEUFv8uM,"11 Biopolis Wy, #01-04/05/06/07 Helios, Singapore 138667",1.3045201,103.7916515,4.9,836,https://www.anytimefitness.sg/gyms/sg-0107/buona-vista-south-west/,8088 7114,fitness_center,Singapore,Fitness Studio,QUEENSTOWN,10724.055500982318,28504.0,True,True,True,General
MSFIT 24HR Women's Gym,ChIJT6VbTyIZ2jER9figFV12I8g,"139 Cecil St, #07-01, Singapore 069539",1.2795422,103.8484516,4.6,130,http://www.msfit.sg/,8322 2917,fitness_center,Singapore,Fitness Studio,OUTRAM,9371.743688254664,5466.0,True,True,True,General
SALT Fitness,ChIJyY5PXZEb2jER-Q9ZLU8AjLM,"7 Lock Rd, #01-13, Singapore 108935",1.2776911,103.8045064,5.0,22,https://saltfitness.sg/,,fitness_center,Singapore,Fitness Studio,BUKIT MERAH,10092.468693505003,45358.0,True,False,True,General
Platinum Fitness Robertson Quay,ChIJt17IZfAZ2jERi0QXQ5Cc3tM,"22 Martin Rd, #04-01, Singapore 239058",1.2918612,103.8384272,4.9,40,http://www.platinumfitness.sg/,9065 9660,fitness_center,Singapore,Fitness Studio,SINGAPORE RIVER,0.0,0.0,True,True,True,General
Anytime Fitness Wheelock Place,ChIJ6Q4X_wsZ2jERV-VwtNekUP8,"501 Orchard Rd, #05-13/14, Singapore 238880",1.3047411,103.8305926,4.8,192,https://www.anytimefitness.sg/gyms/sg-0129/wheelock-place-central-singapore-238880/,8512 0878,fitness_center,Singapore,Fitness Studio,ORCHARD,0.0,0.0,True,True,True,General
Anytime Fitness New Queensway,ChIJmyXGStsb2jERX8p7UC1pTuo,"Queensway, #03-52, 149053 Queensway Shopping Centre, Singapore 149053",1.287777,103.803474,4.8,284,https://www.anytimefitness.sg/gyms/sg-0155/queenstown-central-singapore-149053/,8588 1614,fitness_center,Singapore,Fitness Studio,QUEENSTOWN,10724.055500982318,28504.0,True,True,True,General
Anytime Fitness Orchard,ChIJc7mnJ00Z2jERLLHq2lX62iI,"277 Orchard Rd, #04-01 Orchard, Singapore 238858",1.3012419,103.8389883,4.7,911,https://www.anytimefitness.sg/gyms/sg-0120/singapore-central-singapore-238858/,8816 8855,fitness_center,Singapore,Fitness Studio,NEWTON,0.0,0.0,True,True,True,General
Anytime Fitness Holland Village,ChIJOUQpUCgb2jEROLeYI28anBo,"31A Lor Mambong, Singapore 277689",1.3116106,103.7943913,4.4,140,https://www.anytimefitness.sg/gyms/sg-0100/holland-village-central-singapore-277689/,8720 1736,fitness_center,Singapore,Fitness Studio,BUKIT TIMAH,15710.218884329815,20472.0,True,True,True,General
24/7 FITNESS Ulu Pandan CC,ChIJiRDRTzkb2jER0C2OYZQ3ie0,"170 Ghim Moh Rd, #01-05 Ulu Pandan Community Centre, Singapore 279621",1.3121007,103.7895052,4.9,41,https://sg.247.fitness/,9623 6027,fitness_center,Singapore,Fitness Studio,BUKIT TIMAH,15710.218884329815,20472.0,True,True,True,General
Fitness Corner,ChIJk2hG7Pob2jERr6mzXuok4js,"8 Empress Rd, Block 8, Singapore 260008",1.3163137,103.8051558,4.0,1,,,fitness_center,Singapore,Fitness Studio,BUKIT TIMAH,15710.218884329815,20472.0,False,False,True,General
24/7 FITNESS The Cathay,ChIJqwtrLFkZ2jER3L0TfC2DG9w,"2 Handy Rd, #04-04 The Cathay, Singapore 229233",1.2993784,103.8478027,4.9,76,https://sg.247.fitness/,8824 7892,fitness_center,Singapore,Fitness Studio,MUSEUM,0.0,0.0,True,True,True,General
MAX OUT Fitness Orchard,ChIJtQ5o9JQZ2jERC21iHEujAQE,"181 Orchard Rd, #06-25 Central, Orchard, Singapore 238896",1.3006242,103.8398658,4.8,235,http://www.maxoutfitness-sg.com/,9888 2682,fitness_center,Singapore,Fitness Studio,NEWTON,0.0,0.0,True,True,True,General
Anytime Fitness Stevens,ChIJCfLhS5MZ2jERa_MVstlFftI,"383 Bukit Timah Rd, #01-01 01-01, Singapore 259727",1.3195443,103.8274867,4.5,66,https://www.anytimefitness.sg/gyms/sg-0075/stevens-south-east/,9658 5676,fitness_center,Singapore,Fitness Studio,NOVENA,12399.320787338742,15038.0,True,True,True,General
