name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
ReFormd Personal Training Orchard,ChIJ2z5SK5cZ2jERUE_v3F4469A,"277 Orchard Road, Orchardgateway, #04-15, Singapore 238858",1.3006735,103.839378,5.0,523,http://reformd.co/,8812 8858,fitness_center,Singapore,Fitness Studio,NEWTON,0.0,0.0,True,True,True,General
Barry's - Orchard Road,ChIJb8pk4hAZ2jERwvmCmjj_AJc,"218 Orchard Rd, Level 4 Gateway @ Emerald, Singapore 238851",1.301621,103.8387561,4.2,87,https://www.barrysbootcamp.com.au/studios/orchard-road/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Barrys%20Orchard%20Road&utm_term=plcid_5871846149141984709,8833 3218,fitness_center,"Orchard Road, Singapore",Fitness Studio,NEWTON,0.0,0.0,True,True,True,Local
UFIT Clinic Orchard,ChIJQZDzzT0Z2jERmq4O6ULYHNw,"181 Orchard Road, #06-11 Orchard Central, Singapore 238896",1.300826,103.8396785,5.0,81,https://www.ufit.com.sg/locations/orchard,9170 2591,fitness_center,"Orchard Road, Singapore",Fitness Studio,NEWTON,0.0,0.0,True,True,True,Local
Ultimate Performance Personal Trainers Singapore Orchard,ChIJS01d4JoZ2jEReHz9Mt6zExU,"Orchard Rd, B1, 360 International Building, Singapore 238869",1.3061653,103.8310002,5.0,174,https://ultimateperformance.com/personal-trainer/singapore/singapore-orchard/?utm_source=google+business&utm_medium=organic&utm_campaign=gmb+singapore+orchard,6235 3738,fitness_center,"Orchard Road, Singapore",Fitness Studio,ORCHARD,0.0,0.0,True,True,True,Local
The District Training,ChIJr5QjefkZ2jERXKG9xkx_P98,"18 Marina Gardens Dr, Singapore 018953",1.2825914,103.8653547,5.0,1,http://www.thedistricttraining.com/,9649 4791,fitness_center,"Marina Bay, Singapore",Fitness Studio,MARINA SOUTH,0.0,0.0,True,True,True,Local
Marina Bay Link Mall,ChIJHXaCig4Z2jER6U4Qy8aX7Co,"8A Marina Blvd, Singapore 018984",1.2795303,103.8543391,4.3,3723,http://www.marinabaylink.com.sg/,6634 0888,fitness_center,"Marina Bay, Singapore",Fitness Studio,DOWNTOWN CORE,14925.66,1350.0,True,True,True,Local
Banyan Tree Fitness Club,ChIJvQZ4PQQZ2jER18FYN1geEr0,"10 Bayfront Ave, Singapore 018956",1.2835866,103.8607134,4.1,41,https://www.marinabaysands.com/hotel/amenities/banyan-tree-fitness-club.html/?utm_source=google&utm_medium=GMB&utm_campaign=banyan_tree_fitness_info_main,6688 5533,fitness_center,"Marina Bay, Singapore",Fitness Studio,MARINA SOUTH,0.0,0.0,True,True,True,Local
Fitness First Marina Bay Financial Centre (MBFC),ChIJn00S4A8Z2jERsi0avWvjdKE,"12 Marina Boulevard #16-03/4, Tower, #3 Marina Bay Financial Centre, Singapore 018982",1.2791411,103.8545805,4.4,37,,6536 2373,fitness_center,"Marina Bay, Singapore",Fitness Studio,DOWNTOWN CORE,14925.66,1350.0,False,True,True,Local
UFIT CBD Hub - Club Street,ChIJ7_pADQ0Z2jERo9Kux8Y9MSs,"21 Club St, #01-01, Singapore 069410",1.2824769,103.8466987,4.9,445,https://www.ufit.com.sg/locations/clubstreet,6225 5059,fitness_center,"Chinatown, Singapore",Fitness Studio,OUTRAM,9371.743688254664,5466.0,True,True,True,Local
Fitness Space,ChIJ2QeQKW0Z2jERaVzJ3oPLv14,"73 Tras St, Singapore 079012",1.27751,103.8443596,5.0,1,,6226 3632,fitness_center,"Chinatown, Singapore",Fitness Studio,OUTRAM,9371.743688254664,5466.0,False,True,True,Local
