planning_area,total_households,weighted_average_income,income_distribution
Tanglin,6656,16323.829702524039,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 3977, 'sgd_1000_to_1999': 84, 'sgd_2000_to_2999': 104, 'sgd_3000_to_3999': 132, 'sgd_4000_to_4999': 127, 'sgd_5000_to_5999': 191, 'sgd_6000_to_6999': 109, 'sgd_7000_to_7999': 155, 'sgd_8000_to_8999': 185, 'sgd_9000_to_9999': 122, 'sgd_10000_to_10999': 186, 'sgd_11000_to_11999': 129, 'sgd_12000_to_12999': 154, 'sgd_13000_to_13999': 146, 'sgd_14000_to_14999': 102, 'sgd_15000_to_17499': 356, 'sgd_17500_to_19999': 397}"
Bukit Timah,20472,15710.218884329817,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 11174, 'sgd_1000_to_1999': 364, 'sgd_2000_to_2999': 455, 'sgd_3000_to_3999': 356, 'sgd_4000_to_4999': 474, 'sgd_5000_to_5999': 559, 'sgd_6000_to_6999': 485, 'sgd_7000_to_7999': 623, 'sgd_8000_to_8999': 575, 'sgd_9000_to_9999': 488, 'sgd_10000_to_10999': 617, 'sgd_11000_to_11999': 553, 'sgd_12000_to_12999': 482, 'sgd_13000_to_13999': 445, 'sgd_14000_to_14999': 471, 'sgd_15000_to_17499': 1249, 'sgd_17500_to_19999': 1102}"
River Valley,3376,15695.421208530806,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 1860, 'sgd_1000_to_1999': 80, 'sgd_2000_to_2999': 75, 'sgd_3000_to_3999': 102, 'sgd_4000_to_4999': 54, 'sgd_5000_to_5999': 80, 'sgd_6000_to_6999': 90, 'sgd_7000_to_7999': 92, 'sgd_8000_to_8999': 87, 'sgd_9000_to_9999': 75, 'sgd_10000_to_10999': 74, 'sgd_11000_to_11999': 92, 'sgd_12000_to_12999': 79, 'sgd_13000_to_13999': 59, 'sgd_14000_to_14999': 85, 'sgd_15000_to_17499': 195, 'sgd_17500_to_19999': 197}"
Downtown Core,1350,14925.66,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 632, 'sgd_1000_to_1999': 22, 'sgd_2000_to_2999': 32, 'sgd_3000_to_3999': 25, 'sgd_4000_to_4999': 47, 'sgd_5000_to_5999': 48, 'sgd_6000_to_6999': 45, 'sgd_7000_to_7999': 20, 'sgd_8000_to_8999': 49, 'sgd_9000_to_9999': 47, 'sgd_10000_to_10999': 53, 'sgd_11000_to_11999': 47, 'sgd_12000_to_12999': 53, 'sgd_13000_to_13999': 42, 'sgd_14000_to_14999': 16, 'sgd_15000_to_17499': 102, 'sgd_17500_to_19999': 70}"
Marine Parade,13179,12828.006335837317,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 4770, 'sgd_1000_to_1999': 683, 'sgd_2000_to_2999': 652, 'sgd_3000_to_3999': 736, 'sgd_4000_to_4999': 595, 'sgd_5000_to_5999': 510, 'sgd_6000_to_6999': 500, 'sgd_7000_to_7999': 460, 'sgd_8000_to_8999': 573, 'sgd_9000_to_9999': 449, 'sgd_10000_to_10999': 468, 'sgd_11000_to_11999': 426, 'sgd_12000_to_12999': 366, 'sgd_13000_to_13999': 304, 'sgd_14000_to_14999': 253, 'sgd_15000_to_17499': 773, 'sgd_17500_to_19999': 661}"
Bishan,24524,12483.410944381014,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6864, 'sgd_1000_to_1999': 983, 'sgd_2000_to_2999': 910, 'sgd_3000_to_3999': 1252, 'sgd_4000_to_4999': 996, 'sgd_5000_to_5999': 1225, 'sgd_6000_to_6999': 1307, 'sgd_7000_to_7999': 1078, 'sgd_8000_to_8999': 1060, 'sgd_9000_to_9999': 1014, 'sgd_10000_to_10999': 903, 'sgd_11000_to_11999': 983, 'sgd_12000_to_12999': 900, 'sgd_13000_to_13999': 854, 'sgd_14000_to_14999': 805, 'sgd_15000_to_17499': 1801, 'sgd_17500_to_19999': 1589}"
Novena,15038,12399.320787338742,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 5010, 'sgd_1000_to_1999': 792, 'sgd_2000_to_2999': 851, 'sgd_3000_to_3999': 772, 'sgd_4000_to_4999': 726, 'sgd_5000_to_5999': 721, 'sgd_6000_to_6999': 580, 'sgd_7000_to_7999': 581, 'sgd_8000_to_8999': 743, 'sgd_9000_to_9999': 554, 'sgd_10000_to_10999': 551, 'sgd_11000_to_11999': 497, 'sgd_12000_to_12999': 417, 'sgd_13000_to_13999': 389, 'sgd_14000_to_14999': 310, 'sgd_15000_to_17499': 840, 'sgd_17500_to_19999': 704}"
Serangoon,32272,12015.227503718394,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 8616, 'sgd_1000_to_1999': 1444, 'sgd_2000_to_2999': 1629, 'sgd_3000_to_3999': 1464, 'sgd_4000_to_4999': 1425, 'sgd_5000_to_5999': 1786, 'sgd_6000_to_6999': 1568, 'sgd_7000_to_7999': 1803, 'sgd_8000_to_8999': 1521, 'sgd_9000_to_9999': 1470, 'sgd_10000_to_10999': 1379, 'sgd_11000_to_11999': 1255, 'sgd_12000_to_12999': 1019, 'sgd_13000_to_13999': 1052, 'sgd_14000_to_14999': 1008, 'sgd_15000_to_17499': 2038, 'sgd_17500_to_19999': 1795}"
Pasir Ris,40510,11846.999197728956,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 7885, 'sgd_1000_to_1999': 1198, 'sgd_2000_to_2999': 1408, 'sgd_3000_to_3999': 1691, 'sgd_4000_to_4999': 1768, 'sgd_5000_to_5999': 2318, 'sgd_6000_to_6999': 2078, 'sgd_7000_to_7999': 2281, 'sgd_8000_to_8999': 1994, 'sgd_9000_to_9999': 2438, 'sgd_10000_to_10999': 2230, 'sgd_11000_to_11999': 2017, 'sgd_12000_to_12999': 2104, 'sgd_13000_to_13999': 1608, 'sgd_14000_to_14999': 1643, 'sgd_15000_to_17499': 3415, 'sgd_17500_to_19999': 2434}"
Clementi,26815,11191.556927093045,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6013, 'sgd_1000_to_1999': 1656, 'sgd_2000_to_2999': 1508, 'sgd_3000_to_3999': 1558, 'sgd_4000_to_4999': 1410, 'sgd_5000_to_5999': 1626, 'sgd_6000_to_6999': 1556, 'sgd_7000_to_7999': 1315, 'sgd_8000_to_8999': 1231, 'sgd_9000_to_9999': 1099, 'sgd_10000_to_10999': 1199, 'sgd_11000_to_11999': 993, 'sgd_12000_to_12999': 906, 'sgd_13000_to_13999': 941, 'sgd_14000_to_14999': 702, 'sgd_15000_to_17499': 1761, 'sgd_17500_to_19999': 1341}"
