name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
Kampong Glam Community Club,ChIJq6qqcrEZ2jERtJYskj9TJiA,"385 Beach Rd, Singapore 199581",1.3029472,103.8635062,4.1,361,https://www.onepa.gov.sg/cc/kampong-glam-cc,6295 0741,fitness_center,"Kampong Glam, Singapore",Fitness Studio,KALLANG,10084.228177543,31046.0,True,True,True,Local
Fitness Corner in Bedok Reservoir Park South,ChIJR48acgA92jERbh5wpsizD6E,"739A Bedok Reservoir Rd, Singapore 471739",1.3393125,103.9228299,4.3,3,,,fitness_center,"Bedok, Singapore",Fitness Studio,PAYA LEBAR,0.0,0.0,False,False,True,Local
The Gym Pod @ Bedok Reservoir Park,ChIJWTMBhOA92jERTHuUejWSkNI,"Bedok Reservoir Rd, Singapore",1.3393082,103.9338867,5.0,3,,,fitness_center,"Bedok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,False,False,True,Local
Fitness Corner in Bedok Reservoir Park East,ChIJZ4JgYwA92jERJ6PG_B1daTE,"760 Bedok Reservoir Rd, Singapore 479245",1.33997,103.933466,4.0,1,,,fitness_center,"Bedok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,False,False,True,Local
Bedok Community Centre,ChIJbfCQErUi2jERUUI_vMAxZ5g,"850 New Upper Changi Rd, Singapore 467352",1.3243238,103.9359818,4.2,1414,,6442 5317,fitness_center,"Bedok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,False,True,True,Local
Pasir Ris Town Park Fitness Corner,ChIJo0t1ZdA92jERoUkkTDIOs2A,"422 Pasir Ris Drive 6, Block 423, Singapore 510422",1.3707225,103.9536097,4.3,3,,,fitness_center,"Pasir Ris, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,False,False,True,Local
The Gym Pod @ Pasir Ris Park Carpark A,ChIJOQDqGgA92jERg6V4a9K1SIE,"159W Jln. Loyang Besar, Singapore 507020",1.3807727,103.9601327,4.0,1,https://www.thegympod.com/,,fitness_center,"Pasir Ris, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,True,False,True,Local
Fitness Corner in Turnhouse Park,ChIJK3KBCwA92jERhpIu7-39CIw,"Turnhouse Rd, Singapore",1.3901682,103.9792825,5.0,1,,,fitness_center,"Changi, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,False,False,True,Local
F45 Training Changi Business Park,ChIJKekcXtc82jERFY0HNk-63Vw,"51 Changi Business Park Central 2, #02-01 The Signature, Singapore 486066",1.3351434,103.9652389,4.7,38,https://f45training.sg/ChangiBusinessPark/,8338 5581,fitness_center,"Changi, Singapore",Fitness Studio,TAMPINES,10327.216990999425,72662.0,True,True,True,Local
Woodlands Sports Centre (ActiveSG),ChIJV5hnA6wT2jERqD4CwNu0SpM,"2 Woodlands Street 12, Singapore 738599",1.434104,103.779798,4.1,2049,https://www.activesgcircle.gov.sg/facilities/woodlands-sport-centre,6269 4192,fitness_center,"Woodlands, Singapore",Fitness Studio,WOODLANDS,9184.241848443537,70416.0,True,True,True,Local
The Gym Pod @ Marsiling Park,ChIJaQpX7ckT2jER86UED9mfDDk,"Woodlands Centre Rd, Singapore 732006",1.4377883,103.7710263,3.9,8,http://thegympod.com/,,fitness_center,"Woodlands, Singapore",Fitness Studio,WOODLANDS,9184.241848443537,70416.0,True,False,True,Local
Sembawang Park Fitness Corner,ChIJDSl3wz0V2jERYpYUFD1goY0,"1200 Sembawang Rd, Singapore",1.4614426,103.8363931,5.0,2,,,fitness_center,"Sembawang, Singapore",Fitness Studio,SEMBAWANG,9856.022017546808,29749.0,False,False,True,Local
Sembawang Community Club,ChIJi3j7l5sU2jEROGUByFjhrSM,"117B Canberra Cres, #01-370, Singapore 752117",1.4514788,103.828856,4.1,446,http://go.gov.sg/sembcentral,6752 7212,fitness_center,"Sembawang, Singapore",Fitness Studio,SEMBAWANG,9856.022017546808,29749.0,True,True,True,Local
ActiveSG Sports Centre,ChIJTSDLM50U2jERQoCxNiUI-VY,"21 Canberra Link, Singapore 756973",1.4488628,103.8236134,0.0,0,https://www.activesgcircle.gov.sg/facilities?page=1&type=1,6374 5342,fitness_center,"Sembawang, Singapore",Fitness Studio,SEMBAWANG,9856.022017546808,29749.0,True,True,False,Local
The Gym Pod @ Yishun Neighbourhood Park,ChIJISJXatQV2jER5v2IFLlISfM,"Yishun Ave 2, Ave, 7 and St, #22, Singapore 752106",1.4376839,103.8360082,3.8,11,https://www.thegympod.com/gym-near-me-yishun-neighbourhood-park/,,fitness_center,"Yishun, Singapore",Fitness Studio,SIMPANG,0.0,0.0,True,False,True,Local
ActiveSG Sports Centre,ChIJ7RoekQ8U2jERDK4JtndMOWY,"101 Yishun Ave 1, Singapore 769130",1.411809,103.831229,5.0,1,https://www.activesgcircle.gov.sg/facilities?page=1&type=1,6756 7416,fitness_center,"Yishun, Singapore",Fitness Studio,YISHUN,9019.018663760686,65153.0,True,True,True,Local
